athlete_id,athlete_uid,anon_id,playing_level
ATHLETE_0242,98f82d7a-3022-4788-92b8-8c5f96bfa748,P-B236DB6C,College
ATHLETE_0243,cae4ab7c-1fb7-4c89-8997-5a4d0ff9fc1a,P-0439D635,College
ATHLETE_0244,0759082e-6140-4b06-bd88-5aa025684238,P-CC26626D,College
ATHLETE_0245,101bb279-8567-4e25-9225-d1f0fec12471,P-CBCFAE00,College
ATHLETE_0246,322f5abc-acb1-4bad-9cac-a20afd176d5c,P-8BE66014,College
ATHLETE_0247,3b899bc9-b075-41f3-afb9-711165990b0a,P-D4FE5EBE,College
ATHLETE_0248,57b109dc-17ad-4a1c-b65e-9f2c60aba2c4,P-4FDF0E1C,College
ATHLETE_0249,14da3229-f408-4639-a735-3b6c47902979,P-DD8D47BA,College
ATHLETE_0250,655ef527-4517-47b8-9239-620b789bf3df,P-E0F7E04C,College
ATHLETE_0251,76896100-be3b-4731-8588-59eb9f86abad,P-557BB72B,College
ATHLETE_0252,7eb585af-770a-4322-bc03-e12f3ca026f3,P-7E33848F,College
ATHLETE_0253,8ab94528-857f-422e-b7d7-33e85bbd6219,P-01EA7E10,College
ATHLETE_0254,8fdbec80-3162-4355-b6f9-7e9496623ae1,P-8B80C9A4,College
ATHLETE_0255,9ffba766-0205-45ea-8ccc-7f9be6eca039,P-B8888C58,College
ATHLETE_0256,b08bd53c-4731-4a35-8418-624ab142ea0d,P-35BE15B6,College
ATHLETE_0257,d05297ad-c766-4c79-b152-c2573ecd7116,P-59C12F0E,College
ATHLETE_0258,3f13541d-968f-4877-ae28-2550d850e9db,P-7D6A033D,College
ATHLETE_0259,8a177ec1-bb53-46fd-9745-7430872443bf,P-4919B3E8,College
ATHLETE_0260,1d0d88b9-b89a-4d34-99a0-1ad7b0e8366f,P-687772C7,College
ATHLETE_0261,4e66aa18-8edc-4120-ae5b-38b987a3f7dd,P-25C46E78,College
ATHLETE_0262,77985f59-8f95-4c98-aed3-55cde930a196,P-B8B4D536,College
ATHLETE_0263,a14936c7-f6ce-44e3-906b-6f0af1739df5,P-B2A2E6D9,College
ATHLETE_0264,2ea05811-c5f7-4be7-b5b6-d351f0e29727,P-04376204,College
ATHLETE_0265,3fd15fb6-65c2-4f0c-97c0-e36cf4f71778,P-CE2E9619,College
ATHLETE_0266,433faeba-61a4-452a-a5a8-735360561774,P-85DDA4BE,College
ATHLETE_0267,5af2fdbd-c1e4-4cc4-875d-9b9fc454716a,P-CF821766,College
ATHLETE_0268,8010b86f-4ea5-48a9-b82a-e5e649b2691f,P-CB9052BF,College
ATHLETE_0269,adeac6ab-f6cb-40b5-9aa6-121c308a38c1,P-6AB85707,College
ATHLETE_0270,d7046494-e894-4854-9428-b708fcab8d8b,P-90B81605,College
ATHLETE_0271,e37dbebc-7ae2-412c-9917-c91856a00f27,P-F122BA27,College
ATHLETE_0272,bf3733e5-f20e-4229-9bd3-145db9bacf64,P-3F6AFBC8,College
ATHLETE_0273,f06ac2d9-08a3-4397-b6b2-295d0aaf0b05,P-02E84AE7,College
ATHLETE_0274,b39d3237-99d4-4996-b5d5-126154ef98dd,P-F3444283,College
ATHLETE_0275,c3f06942-00ea-4ed0-86de-455410338f37,P-DA10D946,College
ATHLETE_0276,a9d85cad-df9f-4151-ba22-9ea9a9d6ab74,P-6BEA0FBD,College
