athlete_id,playing_level,first_test_date,last_test_date,n_sessions,body_weight_bin,relative_strength,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR
P-F33009F1,College,2020-07-13,2021-08-11,4,210-220 lbs,3.673,46.6,6101.332,6373.67,63.985,7846.552,460.75,270.625,0.695,-37.835,-11.45,-13.862,-10.94,-6.872,2472.818,2462.902,158.03,40.385,5769.055,57.935,-10.395,-7.975,4577.1,3598.267,1478.767,1889.167,2336.033,38506.22,35.61,2.51,163.408,,,,,51.25,41.25,51.025,50.225,40.2,44.1
P-3260F6AD,College,2020-07-13,2020-07-13,1,230-240 lbs,3.42,35.44,7103.66,5552.01,51.5,8424.13,488.5,252.25,0.5,-34.63,5.53,7.6,5.38,10.78,2664.51,2655.44,225.03,32.21,5534.43,51.33,8.59,11.89,4681.2,3618.36,1266.0,1319.3,1446.3,36660.5,23.28,1.97,101.6,,,,,49.0,51.0,60.4,66.0,76.4,76.9
P-9F9A1670,College,2020-07-13,2020-07-13,1,180-190 lbs,3.9,35.62,3775.87,4221.34,49.81,3645.59,586.25,309.75,0.43,-40.67,-6.74,-7.91,-5.91,-1.91,1868.48,1846.76,309.91,34.55,4267.64,50.35,-7.09,-2.74,4073.9,3244.26,1660.8,2441.0,2957.8,69601.74,29.14,2.68,160.19,,,,,55.0,57.0,64.4,69.6,74.4,60.2
P-D9B46E80,College,2020-07-14,2021-06-22,3,200-210 lbs,3.817,38.537,6757.367,4805.503,51.977,9873.787,483.25,269.417,0.6,-35.467,-4.157,-14.95,-5.927,-9.357,2571.26,2596.003,201.47,31.393,4720.16,51.06,-13.75,-5.937,4362.41,3459.153,1314.07,1665.507,2263.273,49006.107,34.197,2.943,190.78,,,,,66.0,58.0,55.467,61.033,61.533,58.833
P-131B01C5,College,2020-07-14,2022-05-24,4,170-180 lbs,4.512,37.972,3880.78,4098.522,52.01,4947.008,543.02,310.915,0.49,-43.74,-2.428,-5.708,-4.992,-0.985,1811.89,1802.73,128.872,38.335,4320.67,54.82,-2.938,-1.93,4260.245,3487.7,1177.93,1721.33,2268.508,53586.938,28.3,2.778,160.15,,,,,49.75,51.0,44.6,53.0,42.875,39.925
P-AD3EA7C3,College,2020-07-21,2020-07-21,1,200-210 lbs,6.01,43.66,6043.94,5321.09,57.51,9137.97,461.25,281.75,0.64,-39.86,-5.31,-13.05,0.3,3.69,2466.16,2472.05,63.64,40.25,5167.39,55.85,-7.06,6.79,6360.3,5454.26,1954.1,2418.3,3009.4,44538.36,35.27,2.68,176.31,,,,,54.0,59.0,52.5,52.5,59.0,69.0
P-6C1779F4,College,2020-07-21,2020-07-21,1,220-230 lbs,3.96,45.86,9033.34,6822.09,65.7,11502.71,424.5,231.0,0.74,-29.36,-4.59,-18.58,-5.06,1.2,2772.02,2669.12,28.08,45.09,6420.48,61.83,-13.81,1.12,5045.1,4029.43,1096.9,1294.0,1480.5,49372.32,35.22,3.02,199.94,,,,,57.0,50.0,58.9,54.1,67.1,72.1
P-C2BEFB77,College,2020-07-24,2020-07-27,2,220-230 lbs,,60.605,5651.88,7463.56,73.995,8967.295,541.085,281.915,0.775,-47.425,-7.76,-1.19,-5.745,1.49,2784.865,2784.13,106.915,55.64,7119.75,70.56,-5.92,2.77,,,,,,41862.7,40.19,2.79,197.6,,,,,,,,,,
P-AE20A307,College,2020-07-28,2020-07-28,1,200-210 lbs,2.92,39.35,6466.31,5313.87,58.01,6187.42,512.0,240.0,0.55,-30.2,7.13,0.93,7.09,14.86,2352.5,2304.88,355.89,35.6,4860.6,53.06,5.93,10.93,3518.5,2620.8,1047.1,1376.2,1716.5,42959.21,30.96,2.24,128.45,,,,,55.0,58.0,45.7,56.3,56.1,54.5
P-90DFE0C8,College,2020-08-24,2020-08-24,1,130-140 lbs,3.62,34.1,4089.8,2949.39,47.61,5121.52,442.75,281.0,0.54,-36.74,8.9,10.89,7.23,-3.26,1502.9,1519.0,16.65,35.2,3105.2,50.13,6.13,-2.24,2803.41,2200.01,838.9,1067.86,1538.78,36339.99,27.0,2.67,154.27,,,,,68.0,68.0,36.4,42.3,45.0,47.7
P-47442A16,College,2020-08-27,2022-11-14,5,190-200 lbs,3.855,41.628,5430.568,4930.656,56.774,7815.672,487.016,272.284,0.662,-40.574,9.244,5.934,11.36,9.222,2326.178,2329.566,126.798,38.776,4983.616,57.354,-0.278,10.448,4127.31,3279.035,1322.63,1683.28,1966.357,47868.208,33.492,2.882,184.998,1015.07,865.9,-14.0,-15.88,56.8,55.8,46.0,52.84,42.3,55.66
P-0F57AF04,College,2020-09-14,2020-09-14,1,170-180 lbs,3.47,41.17,5937.28,4672.7,59.09,6762.73,416.25,236.25,0.66,-31.62,1.7,-5.98,2.92,9.18,2035.45,2008.5,130.93,37.6,4384.39,55.45,14.5,8.16,3465.86,2690.25,1164.09,1479.57,1909.96,71344.67,32.54,2.93,182.53,,,,,59.0,58.0,50.8,50.2,45.6,39.3
P-322FEB18,College,2020-09-14,2020-12-18,2,180-190 lbs,3.985,59.38,5570.38,6135.9,71.88,7689.69,502.125,255.625,0.82,-42.475,17.82,23.52,12.315,0.435,2549.335,2543.035,176.845,47.745,5640.71,66.08,9.19,2.09,4174.26,3334.47,1455.515,1663.36,2103.78,48748.87,25.955,2.35,129.645,,,,,65.5,68.5,60.35,57.2,51.5,60.8
P-CFE18339,College,2020-09-24,2022-09-29,6,180-190 lbs,4.155,39.063,4958.685,4471.365,54.293,6303.742,476.333,275.68,0.548,-39.385,5.047,5.877,2.977,12.527,2050.55,2045.973,110.163,34.017,4308.982,52.318,8.935,11.572,4160.797,3354.267,1220.718,1382.782,1605.045,48270.61,23.595,2.318,124.872,,,,,56.0,51.0,46.583,45.433,36.05,43.167
