test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs],athlete_uid,athlete_id,session_num
2024-01-04,College,70+,,46.95,5827.87,5952.16,60.02,8868.28,485.67,300.33,0.64,-44.39,0.03,-2.88,-0.37,-9.05,2608.33,2638.25,56.58,39.67,5495.94,55.42,-0.12,-0.41,5024.62,4050.92,1823.56,2346.65,2885.06,65501.66,29.92,2.55,148.45,,,,,53.0,59.0,58.8,55.9,47.1,78.8,,,,2024-01-04,70.8,17.7,4.16,218.2,db4ba4a5-8579-4ebf-bd2a-dab783d30184,ATHLETE_0033,3
2022-01-04,College,65-70,,41.66,6269.99,5646.06,61.7,7687.17,459.0,265.75,0.71,-36.83,-17.92,-19.68,-5.19,3.08,2434.08,2510.6,202.1,39.49,5613.86,61.35,-11.37,-0.19,4455.5,3556.52,2024.3,2868.3,3333.2,65212.76,34.55,3.21,209.31,,,,,61.0,67.0,53.6,61.4,60.9,61.7,,,,2022-01-03,66.3,29.0,3.96,201.32,8f5291fb-869f-4460-bd67-49224d7f0aff,ATHLETE_0034,1
2023-08-17,College,65-70,,46.12,6721.99,6134.5,64.38,10219.62,481.0,269.5,0.72,-40.34,-14.85,-8.02,-5.95,-8.52,2765.31,2895.91,184.03,43.45,6157.75,64.62,2.66,-3.41,4322.3,3391.65,2146.4,2724.1,3197.5,49631.4,39.13,2.93,196.32,,,,,67.0,70.0,47.5,55.4,51.4,52.8,,,,2023-08-14,67.6,32.3,3.63,209.64,8f5291fb-869f-4460-bd67-49224d7f0aff,ATHLETE_0034,2
2024-01-03,College,65-70,,45.91,7285.97,6022.67,62.32,9739.05,449.25,254.25,0.76,-37.37,-13.42,-15.47,-1.94,3.6,2771.34,2898.16,176.78,41.51,5962.44,61.7,-4.85,3.12,4280.5,3334.84,2419.83,3215.59,3408.77,73525.57,37.35,3.14,209.61,,,,,63.0,67.0,49.6,51.0,49.0,57.9,,,,2024-01-02,65.3,29.3,3.52,212.61,8f5291fb-869f-4460-bd67-49224d7f0aff,ATHLETE_0034,3
2022-01-06,College,65-70,,48.34,6166.78,5697.67,63.58,8988.3,441.25,266.25,0.75,-37.53,-3.74,-4.07,-0.7,-5.52,2429.09,2430.87,117.05,45.5,5559.55,62.04,4.87,-3.48,4276.7,3397.83,1649.8,2430.6,2868.8,61698.17,26.74,3.01,173.62,,,,,71.0,58.0,70.1,67.1,70.1,68.1,,,,2022-01-05,69.4,29.6,3.87,197.14,7c4e568b-717d-4c48-9dae-3e642139386c,ATHLETE_0037,1
2022-08-19,College,70+,,50.89,4415.89,5969.05,66.58,5565.07,525.33,310.67,0.69,-45.1,5.34,6.86,-0.12,-13.57,2136.33,2133.74,142.05,46.45,5873.26,65.51,7.41,-9.28,4772.6,3900.0,1281.1,1687.6,2119.0,51295.39,26.05,2.74,156.16,,,,,59.0,44.0,59.0,60.9,58.9,58.7,,,,2022-08-18,70.6,35.4,4.44,197.25,7c4e568b-717d-4c48-9dae-3e642139386c,ATHLETE_0037,2
2022-12-29,College,70+,,51.19,5268.12,5862.38,65.39,7758.18,502.75,281.0,0.73,-43.6,4.25,-4.34,8.31,5.95,2422.93,2425.2,133.34,47.47,6017.4,67.11,1.73,3.59,,,,,,65608.69,30.52,2.95,181.84,,,,,68.0,65.0,54.9,60.2,63.1,48.7,,,,2022-12-27,70.6,27.2,,197.25,7c4e568b-717d-4c48-9dae-3e642139386c,ATHLETE_0037,3
2023-08-17,College,65-70,,50.31,6342.42,6017.5,65.62,8891.96,434.75,274.75,0.77,-37.85,2.38,9.46,1.17,-17.54,2484.59,2485.04,89.86,42.52,5921.07,64.57,12.03,-14.21,4439.0,3546.59,1539.3,1784.2,2130.6,46922.23,31.02,2.71,161.28,,,,,66.0,59.0,41.3,50.2,56.7,55.3,,,,2023-08-16,68.0,33.1,3.94,201.74,7c4e568b-717d-4c48-9dae-3e642139386c,ATHLETE_0037,4
2023-12-29,College,70+,,50.52,6122.67,6077.92,64.38,9449.53,449.67,276.0,0.75,-40.96,0.0,-2.29,2.71,-6.68,2597.97,2597.81,89.81,46.23,5714.59,60.53,2.45,-1.28,4470.32,3540.26,1741.19,2096.03,2552.19,42438.85,28.6,2.66,157.08,,,,,61.0,60.0,53.4,54.2,71.0,81.5,,,,2023-12-28,73.4,23.0,3.82,207.7,7c4e568b-717d-4c48-9dae-3e642139386c,ATHLETE_0037,5
2022-01-11,College,70+,,47.03,6247.13,6445.15,63.78,8234.12,467.5,270.0,0.68,-38.55,-13.33,-16.13,-12.49,-7.81,2550.56,2565.38,157.25,39.6,5673.97,56.15,-18.33,-6.52,4320.9,3331.7,1505.5,1884.1,2366.3,45123.96,33.53,2.66,168.93,,,,,46.0,43.0,48.6,57.6,43.7,43.7,,,,2022-01-10,72.1,19.3,3.36,222.33,aacd7d33-24c9-43de-a488-d5af669ca279,ATHLETE_0038,1
2022-10-05,College,70+,,44.56,6410.12,6328.23,64.08,7879.0,429.5,258.5,0.7,-34.87,-9.67,-13.26,-11.26,-10.43,2409.24,2372.59,138.67,39.81,5750.07,58.23,-16.65,-12.75,,,,,,29315.97,33.47,2.39,150.22,,,,,57.0,38.0,57.4,55.9,49.5,46.7,,,,2022-10-04,72.0,22.7,,217.25,aacd7d33-24c9-43de-a488-d5af669ca279,ATHLETE_0038,2
